,Date,Finish,Length,Length(km),Race_ID,Stage#,Stage_Name,Stage_Type,Start,url
2272,2015-06-21,Brumund,136.0,,1001,0,National Championships Norway U23 - Road Race 2015,PRL,Lillehammer,race/nc-norway-u23/2015
2273,2015-06-24,Ingooigem,198.8,,1002,0,Halle Ingooigem 2015,PRL,Halle,race/halle-ingooigem/2015
2274,2015-06-24,Pori,44.2,,1003,0,National Championships Finland - ITT 2015,PRL,Pori,race/nc-finland-itt/2015
2275,2015-06-24,Bogogno,36.2,,1004,0,National Championships Italy - ITT 2015,PRL,Bogogno,race/nc-italy-itt/2015
2276,2015-06-24,Emmen,53.5,,1005,0,National Championships Netherlands - ITT 2015,PRL,Emmen,race/nc-netherlands-itt/2015
2277,2015-06-24,Strzelin,44.0,,1006,0,National Championships Poland - ITT 2015,PRL,Strzelin,race/nc-poland-itt/2015
2278,2015-06-24,Lausanne,39.4,,1007,0,National Championships Switzerland - ITT 2015,PRL,Lausanne,race/nc-switzerland-itt/2015
2279,2015-06-24,Karaman,25.0,,1008,0,National Championships Turkey - ITT 2015,PRL,Karaman,race/nc-turkey-itt/2015
2280,2015-06-24,Oetingen,174.0,,1009,0,Internationale Wielertrofee Jong Maar Moedig I.W.T. 2015,PRL,Oetingen,race/int-wielertrofee-jong-maar-moedig-iwt/2015
2281,2015-06-24,Pori,37.0,,1010,0,National Championships Finland U23 - ITT 2015,PRL,Pori,race/nc-finland-u23-itt/2015
2282,2015-06-24,Emmen,33.8,,1011,0,National Championships Netherlands U23 - ITT 2015,PRL,Emmen,race/nc-netherlands-tt-espoirs/2015
2283,2015-06-24,Strzelin,33.0,,1012,0,National Championships Poland U23 - ITT 2015,PRL,Strzelin,race/nc-poland-u23-itt/2015
2284,2015-06-24,Lausanne,0.0,,1013,0,National Championships Switzerland U23 - ITT 2015,PRL,Lausanne,race/nc-switzerland-u23-itt/2015
2285,2015-06-25,Rønde,39.0,,1014,0,National Championships Denmark - ITT 2015,PRL,Rønde,race/nc-denmark-itt/2015
2286,2015-06-25,Vändra,38.8,,1015,0,National Championships Estonia - ITT 2015,PRL,Vändra,race/nc-estonia-itt/2015
2287,2015-06-25,Chantonnay,47.2,,1016,0,National Championships France - ITT 2015,PRL,Chantonnay,race/nc-france-itt/2015
2288,2015-06-25,Cadwell Park,44.8,,1017,0,National Championships Great Britain - ITT 2015,PRL,Cadwell Park,race/nc-great-britain-itt/2015
2289,2015-06-25,Bocskaikert,38.0,,1018,0,National Championships Hungary - ITT 2015,PRL,Debrecen,race/nc-hungary-itt/2015
2290,2015-06-25,Omagh,37.0,,1019,0,National Championships Ireland - ITT 2015,PRL,Omagh,race/nc-ireland-itt/2015
2291,2015-06-25,Eschweiler,24.6,,1020,0,National Championships Luxembourg - ITT 2015,PRL,Eschweiler,race/nc-luxembourg-itt/2015
2292,2015-06-25,Brumunddal,0.0,,1021,0,National Championships Norway - ITT 2015,PRL,Brumunddal,race/nc-norway-itt/2015
2293,2015-06-25,Sollerön,50.0,,1022,0,National Championships Sweden - ITT 2015,PRL,Sollerön,race/nc-sweden-itt/2015
2294,2015-06-25,Cadwell Park,33.6,,1023,0,National Championships Great Britain U23 - ITT 2015,PRL,Cadwell Park,race/nc-great-britain-u23-itt/2015
2295,2015-06-25,Bocskaikert,0.0,,1018,0,National Championships Hungary - ITT 2015,PRL,Debrecen,race/nc-hungary-u23-itt/2015
2296,2015-06-25,Eschweiler,0.0,,1025,0,National Championships Luxembourg U23 - ITT 2015,PRL,Eschweiler,race/nc-luxembourg-u23-itt/2015
2297,2015-06-26,Braga,36.0,,1026,0,National Championships  Portugal - ITT 2015,PRL,Braga,race/nc-portugal/2015
2298,2015-06-26,Kristal Center,37.5,,1027,0,National Championships Albania - ITT 2015,PRL,Kristal Center,race/nc-albania-itt/2015
2299,2015-06-26,Sulz im Burgenland,26.3,,1028,0,National Championships Austria - ITT 2015,PRL,Sulz im Burgenland,race/nc-austria-itt/2015
2300,2015-06-26,Narovlia,36.3,,1029,0,National Championships Belarus - ITT 2015,PRL,Narovlia,race/nc-belarus-itt/2015
2301,2015-06-26,Mol - Postel,49.2,,1030,0,National Championships Belgium - ITT 2015,PRL,Mol - Postel,race/nc-belgium-itt/2015
